Family;Score
Ephemeridae;10
Heptageniidae;10
Leptophlebiidae;10
Pothamanthidae;10
Siphonurridae;10
Capniidae;10
Chloroperlidae;10
Leuctridae;10
Perlidae;10
Taeniopteterygidae;10
Aphelochereididae;10
Beraecidae;10
Brachycentridae;10
Goeridae;10
Lepidostomatidae;10
Leptoceridae;10
Mollanidae;10
Odontoceridae;10
Phyrgancineidae;10
Sericostomatidae;10
Caenidae;7
Nemouridae;7
Rhyacophilidae;7
Polycentropodidae;7
Limnepphilidae;7
Neritidae;6
Viviparidae;6
Ancylidae;6
Unionidae;6
Hydroptilidae;6
Corophiidae;6
Gammaridae;6
Paleamonidae;6
Nereidae;6
Nephthyidae;6
Plaqthycnemididae;6
Coenagriidae;6
Mesovelidae;5
Hydrometridae;5
Gerridae;5
Nepidae;5
Naucoridae;5
Notonectidae;5
Pletidae;5
Corixidae;5
Haliplitidae;5
Hygrobiidae;5
Dytiscidae;5
Gyrinidae;5
Hydrophilidae;5
Helobidae;5
Dryopidae;5
Eliminthidae;5
Chyssomelidae;5
Curcuionidae;5
Hydropsychidae;5
Tipulidae;5
Simuliidae;5
Planariidae;5
Dendrocoelidae;5
Baetidae;4
Sialidae;4
Piscicolidae;4
Valvatidae;3
Hygrobiidae;3
Lymnaeitidae;3
Physidae;3
Planorbidae;3
Sphaeriidae;3
Asellidae;3
